vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,km_per_year,power_per_cc,brand_popularity,model_rarity,fuel_type_diesel,fuel_type_electric,fuel_type_lpg,fuel_type_petrol,transmission_type_manual,seller_type_individual,seller_type_trustmark dealer,mileage_bucket_medium,mileage_bucket_high,mileage_bucket_very_high
7,60000,23.4,1248,74.0,5,500000.0,7500.0,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,True,False,False,True,False
4,24800,23.84,1199,84.0,5,335000.0,4960.0,0.07005838198498748,0.027666425708089637,0.009331668528619308,False,False,False,True,True,True,False,False,True,False
16,70000,19.7,796,46.3,5,120100.0,4117.64705882353,0.05816582914572864,0.32325688374843925,0.049878425445225735,False,False,False,True,True,True,False,True,False,False
3,20000,17.1,1199,88.51,5,740000.0,5000.0,0.07381984987489575,0.09699677991719786,0.011500295721889991,False,False,False,True,False,False,False,True,False,False
8,34553,22.0,1197,81.8,5,375000.0,3839.222222222222,0.0683375104427736,0.32325688374843925,0.05086416507853059,False,False,False,True,True,False,False,False,True,False
3,40000,24.3,1248,88.5,5,810000.0,10000.0,0.07091346153846154,0.32325688374843925,0.0189919169350069,True,False,False,False,True,True,False,False,True,False
11,350000,16.47,1198,73.9,5,173000.0,29166.666666666668,0.06168614357262104,0.040349608989945454,0.024249194979299466,False,False,False,True,True,True,False,True,False,False
4,50000,24.3,1248,88.5,5,700000.0,10000.0,0.07091346153846154,0.32325688374843925,0.0189919169350069,True,False,False,False,True,True,False,False,True,False
5,70000,25.32,1198,77.0,6,310000.0,11666.666666666666,0.0642737896494157,0.06565025957810344,0.004205822435434054,True,False,False,False,True,True,False,False,False,True
4,120000,15.4,1997,120.0,7,850000.0,24000.0,0.06009013520280421,0.06565025957810344,0.01780902937504107,True,False,False,False,True,True,False,True,False,False
8,90000,22.54,1396,88.76,5,285000.0,10000.0,0.06358166189111748,0.1939278438588421,0.05901294604718407,True,False,False,False,True,True,False,False,True,False
7,120000,23.4,1248,74.0,5,450000.0,15000.0,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,True,False,False,True,False
4,80000,19.67,1582,126.2,5,1100000.0,16000.0,0.0797724399494311,0.1939278438588421,0.022014851810475126,True,False,False,False,True,True,False,True,False,False
4,30000,15.4,1997,120.0,7,1080000.0,6000.0,0.06009013520280421,0.06565025957810344,0.01780902937504107,True,False,False,False,True,True,False,True,False,False
7,66100,26.0,1498,98.6,5,530000.0,8262.5,0.06582109479305741,0.09699677991719786,0.04928698166524282,True,False,False,False,True,False,False,False,False,True
4,50000,28.4,1248,74.02,5,680000.0,10000.0,0.05931089743589743,0.32325688374843925,0.05750147860944996,True,False,False,False,True,True,False,False,False,True
4,42000,15.4,1997,120.0,7,1025000.0,8400.0,0.06009013520280421,0.06565025957810344,0.01780902937504107,True,False,False,False,True,False,False,True,False,False
4,55000,18.6,1197,81.83,5,650000.0,11000.0,0.06836257309941521,0.1939278438588421,0.05901294604718407,False,False,False,True,True,True,False,True,False,False
9,110699,20.36,1197,78.9,5,194000.0,11069.9,0.06591478696741855,0.1939278438588421,0.02668068607478478,False,False,False,True,True,False,False,False,True,False
2,5000,21.4,1197,83.1,5,686000.0,1666.6666666666667,0.06942355889724311,0.32325688374843925,0.02378918315042387,False,False,False,True,False,True,False,False,True,False
5,50000,22.74,796,47.3,5,200000.0,8333.333333333334,0.059422110552763814,0.32325688374843925,0.049878425445225735,False,False,False,True,True,True,False,False,True,False
11,44000,19.1,1197,85.8,5,250000.0,3666.6666666666665,0.07167919799498747,0.32325688374843925,0.05750147860944996,False,False,False,True,True,False,False,True,False,False
3,90000,24.3,1248,88.5,5,730000.0,22500.0,0.07091346153846154,0.32325688374843925,0.0189919169350069,True,False,False,False,True,True,False,False,True,False
5,55000,17.01,1591,121.3,5,650000.0,9166.666666666666,0.07624135763670647,0.1939278438588421,0.032069396070184664,False,False,False,True,True,False,False,True,False,False
4,45000,24.3,1248,88.5,5,790000.0,9000.0,0.07091346153846154,0.32325688374843925,0.0189919169350069,True,False,False,False,True,False,False,False,True,False
4,30000,21.4,1197,83.1,5,620000.0,6000.0,0.06942355889724311,0.32325688374843925,0.02378918315042387,False,False,False,True,True,True,False,False,True,False
8,50000,17.01,1591,121.3,5,510000.0,5555.555555555556,0.07624135763670647,0.1939278438588421,0.032069396070184664,False,False,False,True,True,True,False,True,False,False
8,20000,15.37,1196,73.0,5,375000.0,2222.222222222222,0.061036789297658864,0.32325688374843925,0.00814878096865348,False,False,False,True,True,True,False,True,False,False
4,19843,21.21,1197,81.8,5,620000.0,3968.6,0.0683375104427736,0.32325688374843925,0.05750147860944996,False,False,False,True,False,False,True,False,True,False
10,30000,11.4,2953,153.86,7,950000.0,2727.2727272727275,0.05210294615645107,0.05099559702963791,0.002760070973253598,True,False,False,False,False,True,False,False,False,False
4,52300,13.68,2393,147.51,7,1450000.0,10460.0,0.061642290012536564,0.05184990471183545,0.03574949070118946,True,False,False,False,True,False,False,False,False,False
